epoch,train_loss,train_acc,val_loss,val_acc,lr,time_sec,best_val_acc
1,0.8842177499671189,0.8255776114546046,0.4188773492666391,0.9707692307692307,0.0001,29.266100645065308,0.9707692307692307
2,0.40687289480041144,0.9821021802798569,0.37372057923903834,0.9907692307692307,0.0001,27.988157987594604,0.9907692307692307
3,0.37177149185791414,0.9941425317279532,0.3426273368872129,0.9984615384615385,0.0001,28.465320825576782,0.9984615384615385
4,0.3560221332546325,0.9990237552879921,0.34013666152954103,1.0,0.0001,28.576478958129883,1.0
5,0.35211686710949797,0.998372925479987,0.3368038961520562,1.0,0.0001,28.98768925666809,1.0
6,0.3523956858836359,0.9977220956719818,0.3371239236684946,1.0,0.0001,27.85263752937317,1.0
7,0.3481716109610054,0.9973966807679792,0.33237129477354194,1.0,0.0001,29.15789270401001,1.0
8,0.343624698972221,0.9996745850959974,0.3318371284008026,1.0,5e-05,30.16956853866577,1.0
9,0.342618291245351,0.9996745850959974,0.33033669187472414,1.0,5e-05,28.378215789794922,1.0
10,0.34037146202097335,0.9996745850959974,0.333038632778021,1.0,5e-05,27.096161603927612,1.0
